Part Name, URL,Quantity,Price,Total Price
Photoresistor GL5537 5537,http://www.amazon.com/gp/product/B008QVE9BG/ref=ox_sc_act_title_1?ie=UTF8&psc=1&smid=A39BKDU4I2L317,4,0.2475,0.99
"1/2"" Circular Force Sensing Resistor",http://www.jameco.com/webapp/wcs/stores/servlet/Product\_10001_10001_2128260_-1,4,7.95,31.8
Hitech HS645MG Servo Motor,http://www.amazon.com/Hitec-32645S-HS-645MG-Torque-Metal/dp/B003T6RSVQ,4,49.99,199.96
Arduino Uno,https://www.sparkfun.com/products/11021,1,24.95,24.95
Arduino Ethernet Shield,https://www.sparkfun.com/products/9026,1,45.95,45.95
Rocker Switch On Off Single Pole Single Throw Quick Connect Rocker 10 Amp 250 Volt AC Straight,http://www.jameco.com/webapp/wcs/stores/servlet/Product\_10001_10001_316128_-1,1,1.65,1.65
DC Power Pigtail Female Plug,http://www.monoprice.com/Product?seq=1&format=2&p_id=6881&CAWELAID=1329453851&CAGPSPN=pla&gclid=CjwKEAjw9eyeBRCqxc_b-LD8kTESJADsBMxSlZYFRPGB2LwI09oGs0PsjcrUS6Nd1nQFYJR-kuWp-BoCAAjw_wcB,1,0.48,0.48
5V 3A UBEC,http://www.adafruit.com/products/1385,5,9.95,49.75
Multiplexer CD74HC4067E,http://www.digikey.com/product-detail/en/CD74HC4067E/296-33087-5-ND/1507234,1,2.33,2.33
1 k\ |OHgr| Resistor,http://www.jameco.com/webapp/wcs/stores/servlet/Product\_10001_10001_690865_-1,15,0.099,1.485
Jumper Wires,,100,,0
Solid Core Wire (22 Gauge),,,,0
Mini Breadboard,https://www.sparkfun.com/products/12043,2,3.95,7.9
Half Breadboard,https://www.sparkfun.com/products/12002,1,4.95,4.95
10 |mgr|\ F Capacitor,https://www.sparkfun.com/products/523,1,0.45,0.45
"10x Single Row Male and Female 40 Pin Header Strip 2.54mm / Square Pin Type, Single Row Pin Header Strips, Great Components for PCB",http://www.amazon.com/Single-Female-Header-2-54mm-Components/dp/B008QUVM4E,1,5.24,5.24
12V 5A Switching Power Supply,https://www.adafruit.com/products/352,1,24.95,24.95
Total:,,,,402.835
